location,timestamp,congestion_level
Peshawar,2024-05-14,0.22190611664295876
Islamabad,2024-05-25,0.03131672597864769
Karachi,2024-06-18,0.31693989071038253
Lahore,2024-06-20,0.18064516129032257
Lahore,2024-05-26,0.6911957950065704
Quetta,2024-05-25,0.1
Islamabad,2023-04-25,0.7555753791257805
Islamabad,2024-06-18,0.638085742771685
Peshawar,2023-12-18,0.08854166666666667
Quetta,2023-11-22,1.4824399260628467
Peshawar,2024-09-20,0.3901705115346038
Lahore,2024-06-28,0.10254645560908465
Peshawar,2024-02-22,0.47068676716917923
Islamabad,2024-09-23,0.476984126984127
Lahore,2024-03-28,0.6517543859649123
Karachi,2023-04-25,0.9328922495274102
Islamabad,2024-05-26,0.32476435304198803
Peshawar,2023-12-19,0.21312803889789303
Karachi,2024-06-17,1.8923076923076922
Karachi,2024-05-26,0.13710302091402013
Peshawar,2023-04-25,0.9385665529010239
Lahore,2024-08-26,0.3815165876777251
Quetta,2024-06-10,0.007856341189674524
Lahore,2023-11-23,0.8016032064128257
Quetta,2024-06-27,0.2973944294699012
Quetta,2024-09-22,0.2810880829015544
Quetta,2024-09-21,0.3535811423390752
Peshawar,2024-05-26,0.2047556142668428
Quetta,2023-04-25,0.1071779744346116
Peshawar,2024-09-05,0.061019382627422826
Quetta,2024-05-26,0.5802364864864865
Quetta,2024-03-29,0.414320193081255
Lahore,2023-04-26,0.2749301025163094
Quetta,2024-05-17,0.5499474237644585
Lahore,2024-03-24,0.9097303634232122
Islamabad,2023-11-23,0.6222627737226277
Islamabad,2024-09-04,0.477319587628866
Peshawar,2024-06-27,0.7311320754716981
Quetta,2024-05-15,0.5637583892617449
Lahore,2024-05-27,0.9621212121212122
Quetta,2024-05-18,0.5674157303370787
Islamabad,2023-04-26,1.0368550368550369
Karachi,2024-05-12,0.655448717948718
Lahore,2024-03-31,0.23429951690821257
Islamabad,2024-03-22,0.4768856447688564
Quetta,2023-11-23,0.6368421052631579
Islamabad,2024-05-13,0.01794453507340946
Islamabad,2024-05-27,1.474662162162162
Lahore,2024-05-15,0.6851211072664359
Karachi,2023-04-26,0.6363636363636364
Islamabad,2024-03-18,1.755834829443447
Quetta,2023-11-20,0.40922619047619047
Karachi,2024-06-27,0.25392296718972895
Karachi,2024-05-25,0.620954003407155
Peshawar,2024-03-11,0.5130315500685871
Quetta,2024-03-27,0.6817713697219362
Peshawar,2023-04-26,0.5117328519855595
Lahore,2024-09-22,0.7258444619010213
Karachi,2024-05-27,0.7763878029710711
Islamabad,2024-05-16,0.9472551130247578
Islamabad,2024-06-19,0.4878587196467991
Karachi,2024-09-23,1.1030927835051547
